Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
15-JUL-2025,25089.5,25245.2,25088.45,25195.8,241340130,23282.7
16-JUL-2025,25196.6,25255.3,25121.05,25212.05,228815928,22254.54
17-JUL-2025,25230.75,25238.35,25101,25111.45,243412540,24715.35
18-JUL-2025,25108.55,25144.6,24918.65,24968.4,316979826,26330.8
21-JUL-2025,24999,25111.4,24882.3,25090.7,305216414,26062.25
22-JUL-2025,25166.65,25182,25035.55,25060.9,483725120,31248.06
23-JUL-2025,25139.35,25233.5,25085.5,25219.9,271539651,23042.49
24-JUL-2025,25243.3,25246.25,25018.7,25062.1,338728860,27433.34
25-JUL-2025,25010.35,25010.35,24806.35,24837,278136104,25273.64
28-JUL-2025,24782.45,24889.2,24646.6,24680.9,262142969,24976.54
29-JUL-2025,24609.65,24847.15,24598.6,24821.1,284657235,25954.42
30-JUL-2025,24890.4,24902.3,24771.95,24855.05,243886726,23525.25
31-JUL-2025,24642.25,24956.5,24635,24768.35,346303628,30477.71
01-AUG-2025,24734.9,24784.15,24535.05,24565.35,263357194,24972.45
04-AUG-2025,24596.05,24736.25,24554,24722.75,259329477,20372.68
05-AUG-2025,24720.25,24733.1,24590.3,24649.55,251849778,23815.36
06-AUG-2025,24641.35,24671.4,24539.2,24574.2,225091071,20559.22
07-AUG-2025,24464.2,24634.2,24344.15,24596.15,616739190,35574.59
08-AUG-2025,24544.25,24585.5,24337.5,24363.3,312630157,38135.74
11-AUG-2025,24371.5,24600.85,24347.45,24585.05,241145497,21081.61
12-AUG-2025,24563.35,24702.6,24465.65,24487.4,237002462,22258.29
13-AUG-2025,24586.2,24664.55,24535.25,24619.35,236006791,22843.14
14-AUG-2025,24607.25,24673.65,24596.9,24631.3,270162203,22375.44
18-AUG-2025,24938.2,25022,24852.85,24876.95,363071305,37637.67
19-AUG-2025,24891.35,25012.65,24873.95,24980.65,252340828,24781.97
20-AUG-2025,24965.8,25088.7,24929.7,25050.55,287054119,25330.45
21-AUG-2025,25142,25153.65,25054.9,25083.75,226542052,21865.07
22-AUG-2025,25064.15,25084.85,24859.15,24870.1,210165384,19655.78
25-AUG-2025,24949.15,25021.55,24894.35,24967.75,213032133,19871.25
26-AUG-2025,24899.5,24919.65,24689.6,24712.05,750473927,47068.2
28-AUG-2025,24695.8,24702.65,24481.6,24500.9,326601486,29371.67
29-AUG-2025,24466.7,24572.45,24404.7,24426.85,325543583,26796.69
